file	ratio	shd	档
100_稻富一梦_朝右.png	1.2981	-0.4384	带
1037_泽庵宗彭_朝右.png	1.0937	-0.4966	带
1040_拉斐耶鲁_朝右.png	1.1409	-0.3999	带
1048_阿中_朝右.png	0.9408	-0.4456	带
1056_阿梅_朝正.png	0.9444	-0.442	带
1061_阿玉_朝右.png	0.8697	-0.4225	带
1063_濑名_朝右.png	0.9684	-0.4564	带
106_猪俣邦宪_朝右.png	0.893	-0.2712	带
1075_春桃_朝正.png	1.0452	-0.4323	带
107_今井宗久_朝正.png	1.0992	-0.5173	带
1083_美代_朝正.png	1.2608	-0.4357	带
1087_虎哉宗乙_朝正.png	1.0378	-0.5447	带
115_犬童赖安_朝右.png	1.0661	-0.3071	带
1167_竹中半兵卫_朝正.png	0.9144	-0.4555	带
1168_伊达政宗_朝右.png	0.9236	-0.4883	带
1172_丰臣秀吉_朝正.png	1.1945	-0.4889	带
1178_福岛正则_朝右.png	0.919	-0.4993	带
1182_宫本武藏_朝右.png	0.8661	-0.4882	带
119_上杉谦信_朝正.png	1.1937	-0.4948	带
1200_大国实赖_朝正.png	1.1134	-0.5015	带
1205_多贺谷政广_朝正.png	1.0517	-0.5663	带
1212_宫部长房_朝右.png	0.8919	-0.5164	带
1214_金森可重_朝右.png	0.9162	-0.5401	带
1218_留守显宗_朝右.png	0.9408	-0.5234	带
1219_原长赖_朝正.png	1.2464	-0.5347	带
1220_平塚为广_朝右.png	0.9691	-0.4298	带
1229_色部显长_朝右.png	0.9414	-0.3972	带
1231_江上家种_朝右.png	1.0762	-0.5316	带
1234_河野通直_朝右.png	1.2602	-0.5325	带
1234_河野通直牛福丸_朝右.png	1.2602	-0.5325	带
1235_姊小路良赖_朝右.png	0.9574	-0.5739	带
1242_小川佑忠_朝右.png	0.9005	-0.5321	带
1244_佃十成_朝右.png	0.8524	-0.5477	带
1248_赤星统家_朝右.png	1.3541	-0.5725	带
124_宇喜多直家_朝正.png	0.9404	-0.4832	带
1267_植田光次_朝右.png	0.9469	-0.4883	带
1273_爱洲元香斋_朝右.png	1.0576	-0.541	带
1274_上泉泰纲_朝右.png	0.9859	-0.5158	带
1276_苏我理右卫门_朝右.png	1.3567	-0.553	带
1284_清水景治_朝正.png	1.0569	-0.5638	带
134_臼杵鉴速_朝右.png	1.0032	-0.5521	带
138_鹈殿长照_朝右.png	1.2223	-0.4993	带
13_明智秀满_朝正.png	1.0768	-0.4294	带
143_颖娃久虎_朝右.png	1.0328	-0.291	带
147_远藤直经_朝右.png	0.9097	-0.4359	带
148_远藤基信_朝右.png	1.0362	-0.5335	带
155_大久保忠邻_朝正.png	0.9838	-0.4198	带
159_大崎义隆_朝右.png	1.2181	-0.4604	带
163_太田牛一_朝右.png	1.2065	-0.4951	带
164_太田三乐斋_朝正.png	1.2411	-0.4979	带
171_大野治长_朝正.png	0.9947	-0.5339	带
173_小笠原长时_朝右.png	1.1528	-0.5013	带
184_奥村永福_朝右.png	0.8757	-0.4757	带
187_小濑甫庵_朝右.png	1.274	-0.5209	带
189_织田有乐_朝正.png	0.9577	-0.5244	带
192_织田信包_朝右.png	1.0553	-0.4859	带
19_朝仓景健_朝右.png	0.9788	-0.3335	带
202_小野善鬼_朝右.png	0.9396	-0.469	带
210_甲斐宗运_朝右.png	0.8617	-0.4838	带
214_柿崎景家_朝右.png	0.8517	-0.2718	带
219_葛西晴信_朝正.png	1.0586	-0.488	带
238_蒲池鉴盛_朝正.png	0.9788	-0.4911	带
255_木曾义康_朝右.png	0.9313	-0.4449	带
260_北畠具房_朝正.png	1.2972	-0.4595	带
277_九鬼广隆_朝右.png	0.8722	-0.5206	带
284_国友善兵卫_朝正.png	1.1967	-0.4971	带
295_桑名吉成_朝正.png	1.3406	-0.4389	带
29_足利义昭_朝正.png	1.0068	-0.5297	带
2_赤井直正_朝正.png	1.2427	-0.4968	带
305_儿玉就英_朝正.png	0.8965	-0.4882	带
306_木造具政_朝正.png	1.2575	-0.4958	带
309_后藤贤丰_朝右.png	1.1328	-0.512	带
325_斋藤利三_朝正.png	1.1175	-0.4416	带
337_相良义阳_朝右.png	0.8774	-0.5014	带
338_相良赖房_朝正.png	1.0066	-0.4737	带
352_里见义尧_朝右.png	0.8504	-0.5515	带
358_真田昌辉_朝右.png	0.8543	-0.4493	带
362_佐野房纲_朝右.png	1.0966	-0.5018	带
365_猿渡信光_朝右.png	0.9124	-0.5594	带
369_志贺亲守_朝右.png	0.8922	-0.5179	带
373_宍户元续_朝正.png	1.0108	-0.5278	带
380_柴田胜丰_朝右.png	0.8647	-0.5014	带
383_芝辻清右卫门_朝右.png	0.8885	-0.5183	带
387_岛津家久_朝右.png	1.1545	-0.4532	带
388_岛津日新斋_朝右.png	0.8555	-0.5223	带
391_岛津岁久_朝右.png	1.0194	-0.4674	带
396_清水宗治_朝正.png	1.1911	-0.3362	带
402_上条政繁_朝正.png	1.0321	-0.5117	带
403_白石宗实_朝右.png	1.0388	-0.2009	带
407_神保长城_朝正.png	1.1574	-0.5117	带
410_菅沼定盈_朝右.png	0.9044	-0.5093	带
416_铃木元信_朝正.png	1.0296	-0.4922	带
417_须田满亲_朝右.png	0.8959	-0.4903	带
424_关盛信_朝右.png	1.0605	-0.52	带
