【Hero.csv】
ID,ScriptName,CNName,FirstName,SecondName,EnglishName,ClanID,CultureID,GenerateType,AppearanceID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
string,string,string,string,string,string,string,cultureID,string,int,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
骑砍ID,剧本中文名,简体中文名,姓氏,名,罗马音名,家族ID,文化,生成类型,外观模版,生年,登场,终年,死因,父亲,父亲编号,祖父,祖父编号,亲族,仕官倾向,仕官相性,亲密相性,性情,精神,主义,行动,情义,野心,喜好,物欲,饮酒,出身,武具,统率,武力,政务,智谋,魅力,足轻,骑马,火枪,水军,弓术,武艺,军学,忍术,建筑,开垦,矿山,算术,礼法,辩才,茶道,医术,特殊合战卡,秘技卡,称号卡,亲密获取,组合获取,事件获取,流亡之章,姓名,身份,立场,所属势力,所属据点,所属流派,乱麻之章,姓名,身份,立场,所属势力,所属据点,所属流派,日轮之章,姓名,身份,立场,所属势力,所属据点,所属流派,升龙之章,姓名,身份,立场,所属势力,所属据点,所属流派,覇道之章,姓名,身份,立场,所属势力,所属据点,所属流派,转变之章,姓名,身份,立场,所属势力,所属据点,所属流派,浪华之章,姓名,身份,立场,所属势力,所属据点,所属流派,太平之章,姓名,身份,立场,所属势力,所属据点,所属流派,梦幻之章,姓名,身份,立场,所属势力,所属据点,所属流派
lord_1_aoyama_tadanari,青山忠成,青山忠成,青山,忠成,Aoyama Tadanari,clan_aoyama_1,kanto,基于分组自动创建家族,,1551,1565,1613,病死,,,,,,只限武将,88,88,温和,胆小,现实,慎重,重视情义,35,书籍,无欲,普通,藤原氏,刀剑,45,40,55,53,38,1,0,1,0,1,0,2,0,1,3,1,2,2,0,0,1,无,强袭,无,无要求,,,未登场,青山忠成,足轻组头,直臣,松平家,冈崎城,无,未登场,青山忠成,足轻组头,陪臣（松平元康）,今川家,冈崎城,无,未登场,青山忠成,浪人,其他,无,冈崎之町,无,已登场,青山忠成,足轻组头,直臣,德川家,冈崎城,无,已登场,青山忠成,足轻组头,直臣,德川家,滨松城,无,已登场,青山忠成,足轻组头,直臣,德川家,滨松城,无,已登场,青山忠成,足轻组头,直臣,德川家,滨松城,无,已登场,青山忠成,足轻大将,直臣,德川家,江户城,无,已登场,青山忠成,大名,首领,青山家,高松城,无
lord_1_akaike_nagatomo,赤池長任,赤池长任,赤池,长任,Akaike Nagatomo,clan_akaike_1,saikai,基于分组自动创建家族,,1530,1554,1579,病死,,,,,,只限武将,60,60,性急,勇敢,普通,普通,重视情义,29,武具,普通,嗜酒如命,其他,刀剑,70,63,43,61,58,2,3,2,1,2,2,3,0,1,0,0,1,1,1,0,0,无,强袭，拔突，刚弓，铁壁,无,无要求,,,已登场,赤池长任,部将,直臣,相良家,人吉城,无,已登场,赤池长任,部将,直臣,相良家,人吉城,无,已登场,赤池长任,部将,直臣,相良家,人吉城,无,已登场,赤池长任,部将,直臣,相良家,人吉城,无,已登场,赤池长任,部将,直臣,相良家,人吉城,无,已死亡,赤池长任,无效,无效,无,无效,无,已死亡,赤池长任,无效,无效,无,无效,无,已死亡,赤池长任,无效,无效,无,无效,无,已登场,赤池长任,部将,直臣,赤穴家,中村城,无
lord_1_akai_naomasa,赤井直正,赤井直正,赤井,直正,Akai Naomasa,clan_akai_1,kinai,基于分组自动创建家族,,1529,1560,1578,战死,,,,,,全职种,44,44,普通,勇敢,普通,普通,普通,57,武具,贪心,嗜酒如命,源氏,枪,72,62,43,56,55,3,2,2,0,1,2,2,1,1,1,1,1,1,0,0,0,无,强袭，拔突，铁壁,无,一般条件,,,已登场,赤井直正,侍大将,直臣,波多野家,八上城,无,已登场,赤井直正,侍大将,直臣,波多野家,八上城,无,已登场,赤井直正,侍大将,直臣,波多野家,八上城,无,已登场,赤井直正,侍大将,直臣,波多野家,八上城,无,已登场,赤井直正,侍大将,直臣,波多野家,八上城,无,已死亡,赤井直正,无效,无效,无,无效,无,已死亡,赤井直正,无效,无效,无,无效,无,已死亡,赤井直正,无效,无效,无,无效,无,已登场,赤井直正,家老,直臣,赤穴家,中村城,无
lord_1_anzai_matasuke,安西又助,安西又助,安西,又助,Anzai Matasuke,clan_anzai_1,neutral_culture,基于分组自动创建家族,,1556,1570,1619,病死,,,,,,全职种,35,35,性急,普通,理想,轻率,普通,44,南蛮物,贪心,嗜酒如命,平氏,刀剑,56,53,21,39,47,2,0,1,3,2,1,0,1,2,0,0,0,0,1,0,1,进水,强袭，刚弓,无,无要求,,,未登场,安西又助,船大将,直臣,房总水军,冈本之砦,无,未登场,安西又助,船大将,直臣,房总水军,冈本之砦,无,未登场,安西又助,船大将,直臣,房总水军,冈本之砦,无,未登场,安西又助,船大将,直臣,房总水军,冈本之砦,无,已登场,安西又助,船头,直臣,房总水军,冈本之砦,无,已登场,安西又助,船头,直臣,房总水军,冈本之砦,无,已登场,安西又助,船头,直臣,房总水军,冈本之砦,无,已登场,安西又助,头领,首领,房总水军,冈本之砦,无,已登场,安西又助,侍大将,直臣,西园寺家,山形城,无
lord_1_akao,赤尾清綱,赤尾清纲,赤尾,清纲,Akao Kiyotsuna,clan_akao_1,kinai,精确匹配织丰,,1514,1554,1573,战死,,,,,,只限武将,70,70,温和,勇敢,理想,普通,普通,21,书籍,普通,普通,藤原氏,刀剑,64,70,39,66,41,1,2,1,0,0,1,0,0,1,0,0,0,1,0,0,0,无,强袭,无,无要求,,,已登场,赤尾清纲,部将,直臣,浅井家,小谷城,无,已登场,赤尾清纲,家老,直臣,浅井家,小谷城,无,已登场,赤尾清纲,家老,直臣,浅井家,小谷城,无,已登场,赤尾清纲,家老,直臣,浅井家,小谷城,无,已死亡,赤尾清纲,无效,无效,无,无效,无,已死亡,赤尾清纲,无效,无效,无,无效,无,已死亡,赤尾清纲,无效,无效,无,无效,无,已死亡,赤尾清纲,无效,无效,无,无效,无,已登场,赤尾清纲,家老,直臣,赤穴家,中村城,无
lord_1_akashi_2,明石全登,明石全登,明石,全登,Akashi Teruzumi,clan_akashi_1,sanyo,精确匹配织丰,,1566,1580,1615,战死,,,,,,全职种,19,19,性急,胆小,理想,轻率,普通,62,南蛮物,贪心,普通,源氏,刀剑,60,69,46,56,53,1,1,1,0,1,0,0,0,0,1,1,1,0,0,1,2,无,强袭,无,一般条件,,,未登场,明石全登,足轻组头,陪臣（宇喜多直家）,浦上家,天神山城,无,未登场,明石全登,足轻组头,陪臣（宇喜多直家）,浦上家,天神山城,无,未登场,明石全登,足轻组头,直臣,浦上家,天神山城,无,未登场,明石全登,足轻组头,陪臣（宇喜多直家）,浦上家,天神山城,无,未登场,明石全登,足轻组头,陪臣（宇喜多直家）,浦上家,冈山城,无,已登场,明石全登,足轻组头,直臣,宇喜多家,冈山城,无,已登场,明石全登,足轻组头,直臣,宇喜多家,冈山城,无,已登场,明石全登,侍大将,直臣,宇喜多家,冈山城,无,已登场,明石全登,浪人,其他,无,江户之町,无
lord_1_akana_sanekiyo,赤穴盛清,赤穴盛清,赤穴,盛清,Akana Sanekiyo,clan_akana_1,sanyo,基于分组自动创建家族,,1529,1554,1595,病死,,,,,,全职种,20,36,温和,胆小,现实,慎重,不重情义,31,艺术品,普通,滴酒不沾,源氏,刀剑,39,45,60,53,36,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,无,强袭,无,无要求,,,已登场,赤穴盛清,侍大将,直臣,尼子家,月山富田城,无,已登场,赤穴盛清,侍大将,直臣,尼子家,月山富田城,无,已登场,赤穴盛清,侍大将,直臣,尼子家,月山富田城,无,已登场,赤穴盛清,侍大将,直臣,毛利家,吉田郡山城,无,已登场,赤穴盛清,侍大将,直臣,毛利家,吉田郡山城,无,已登场,赤穴盛清,侍大将,直臣,毛利家,吉田郡山城,无,已登场,赤穴盛清,侍大将,直臣,毛利家,吉田郡山城,无,已死亡,赤穴盛清,无效,无效,无,无效,无,已登场,赤穴盛清,大名,首领,赤穴家,中村城,无
lord_1_akamatsu_torashige,赤松政秀,赤松政秀,赤松,政秀,Akamatsu Torashige,clan_akamatsu_1,kinai,家族和文化自动推断,,1510,1554,1570,战死,,,,,斋村政广,全职种,59,59,普通,普通,理想,轻率,不重情义,61,书籍,贪心,普通,源氏,刀剑,48,58,44,55,46,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,无,强袭,无,无要求,,,已登场,赤松政秀,部将,直臣,赤松家,置盐城,无,已登场,赤松政秀,家老,直臣,赤松家,置盐城,无,已登场,赤松政秀,家老,直臣,赤松家,置盐城,无,已登场,赤松政秀,家老,直臣,赤松家,置盐城,无,已死亡,赤松政秀,无效,无效,无,无效,无,已死亡,赤松政秀,无效,无效,无,无效,无,已死亡,赤松政秀,无效,无效,无,无效,无,已死亡,赤松政秀,无效,无效,无,无效,无,已登场,赤松政秀,部将,直臣,赤穴家,中村城,无
lord_1_akamatsu,赤松義祐,赤松义祐,赤松,义祐,Akamatsu Yoshisuke,clan_akamatsu_1,kinai,精确匹配织丰,,1537,1554,1576,病死,赤松晴政,808,,,赤松晴政,只限武将,59,59,温和,胆小,普通,普通,普通,56,艺术品,贪心,普通,源氏,刀剑,39,45,51,46,39,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,无,强袭,无,一般条件,,,未登场,赤松义祐,家老,直臣,赤松家,置盐城,无,已登场,赤松义祐,家老,直臣,赤松家,置盐城,无,已登场,赤松义祐,大名,首领,赤松家,置盐城,无,已登场,赤松义祐,大名,首领,赤松家,置盐城,无,已登场,赤松义祐,大名,首领,赤松家,置盐城,无,已死亡,赤松义祐,无效,无效,无,无效,无,已死亡,赤松义祐,无效,无效,无,无效,无,已死亡,赤松义祐,无效,无效,无,无效,无,已登场,赤松义祐,家老,直臣,赤穴家,中村城,无
lord_1_akiue_hisaya,秋上久家,秋上久家,秋上,久家,Akiue Hisaya,clan_akiue_1,sanyo,基于分组自动创建家族,,1536,1554,1579,病死,,,,,,没那个意思,18,18,普通,普通,理想,轻率,重视情义,41,武具,无欲,普通,其他,枪,63,58,38,40,61,0,1,0,0,0,0,2,0,0,0,1,1,0,1,0,0,无,拔突,无,无要求,,,未登场,秋上久家,足轻大将,直臣,尼子家,月山富田城,无,已登场,秋上久家,足轻组头,直臣,尼子家,月山富田城,无,已登场,秋上久家,侍大将,直臣,尼子家,月山富田城,无,已登场,秋上久家,浪人,其他,无,津山之町,无,已登场,秋上久家,浪人,其他,无,津山之町,无,已死亡,秋上久家,无效,无效,无,无效,无,已死亡,秋上久家,无效,无效,无,无效,无,已死亡,秋上久家,无效,无效,无,无效,无,已登场,秋上久家,部将,直臣,上泉家,内城,无
